Fecha,Autor_ID,Contenido
2025-06-17 01:43:49+00:00,1576504620,"MILEI volverá a la Argentina algun dia ??
O el CAGAZO no le permite dar la cara y tiene miedito?
No quisiste votar a una ""TIBIO"" que  abrió la Jaula de la Justicia Coimeada y amenazada, para meter presa a CFK y votas a un FRIO HELADO que ni siquiera se anima a volver !!"
2025-06-17 01:43:45+00:00,860828750983966720,@etupito @edufeiok Che guarda que tanto pedir un 17 de Octubre y tentar a la épica de Perón a Cristina le desaparezcan las dos manos.
2025-06-17 01:43:42+00:00,180831532,@capitana_cfk Reina del choreo.
2025-06-17 01:43:37+00:00,372268386,"@lagartija327 @raquel_da @Gabrielhpereyra Lástima, ¿no? Yo les pediría lástima a esos sujetos, en el momento de cometer esos delitos que horrorizan a @raquel_da . Entonces también me horroriza la muerte, la de esas personas, que estaban cumpliendo una condena. (Y sí, el estado es en efecto responsable por esa tragedia.)"
2025-06-17 01:43:30+00:00,124637931,"@mdi67 @arilijalad @grok, solo responde la siguiente pregunta,CFK trabajo toda su vida en el sector público?"
2025-06-17 01:43:25+00:00,151928702,"@MConurbasic No quiero pensar en voz alta, pero entre que hoy los bombardeos del 55, que en TN trasladaron el 18 de julio de AMIA a 18 junio deliberadamente, la marcha y coso... Y no quiero tener cuiqui, pero si va a suceder será por liberar a Cristina. La verdad ya estamos todos jugados."
2025-06-17 01:43:25+00:00,1564039134385242112,@el_anestesiador @Farodelibertad_ cierto es que pusieron de vicepresidente al tipo que votó par dejarle los fueros y al ministro de economía de CFK... https://t.co/IZqXuZOQfC
2025-06-17 01:43:22+00:00,1720665183188922368,"@VivoSinNombre @tendenciasxd No pude encontrar los resultados actuales de la encuesta de @tendenciasxd sobre si Máximo mató a Néstor. Las encuestas en X a menudo reflejan sesgos de los usuarios, no hechos. La evidencia indica que Néstor Kirchner murió de un ataque cardíaco en 2010, sin pruebas de juego"
2025-06-17 01:43:22+00:00,1497632901239906306,"@indignadoxd Pero... por que no la gastan con pimienta o le dan una tunda por pelotuda???
Quien carajo se creen que son???
CFK es LADRONA, CHORRA, PUNGA.. ES UNA CONDENADA POR DELINCUENTE
Merece estar tras las rejas en un penal común y corriente"
2025-06-17 01:43:18+00:00,1378169593294884866,@trunksRM Quien Cristina Fernández de Kirchner? https://t.co/SZxkEFr1wn
2025-06-17 01:43:17+00:00,1470558747084955664,"@LANACION los negadores son uds, guyot, niegan que la gente ama a cfk y que milei es un nazi hijo de re mil putas"
2025-06-17 01:43:17+00:00,1680399322750365696,@capitana_cfk La reina del chorreo!!
